Country or Area,Element,Year,Unit,Wheat Value
Kyrgyzstan,Area harvested,2018,ha,253804
Tajikistan,Area harvested,2018,ha,255549
Austria,Area harvested,2018,ha,292654
Bosnia and Herzegovina,Production,2018,tonnes,295810
Bolivia (Plurinational State of),Production,2018,tonnes,301689
Kenya,Production,2018,tonnes,336600
Mongolia,Area harvested,2018,ha,342666
Bangladesh,Area harvested,2018,ha,351228
New Zealand,Production,2018,tonnes,371027
Republic of Moldova,Area harvested,2018,ha,372076
Sweden,Area harvested,2018,ha,372500
Slovakia,Area harvested,2018,ha,403372
Greece,Area harvested,2018,ha,404490
Latvia,Area harvested,2018,ha,417200
Denmark,Area harvested,2018,ha,425806
Paraguay,Area harvested,2018,ha,430000
Mongolia,Production,2018,tonnes,436115
Uruguay,Production,2018,tonnes,440000
Estonia,Production,2018,tonnes,450265
Finland,Production,2018,tonnes,494700
Switzerland,Production,2018,tonnes,497250
South Africa,Area harvested,2018,ha,503350
Ireland,Production,2018,tonnes,506800
Southern Africa,Area harvested,2018,ha,513577
Mexico,Area harvested,2018,ha,541345
Central America,Area harvested,2018,ha,544177
Saudi Arabia,Production,2018,tonnes,586413
Sudan,Production,2018,tonnes,595000
Syrian Arab Republic,Area harvested,2018,ha,600000
Kyrgyzstan,Production,2018,tonnes,615926
Serbia,Area harvested,2018,ha,643083
Belarus,Area harvested,2018,ha,659861
Azerbaijan,Area harvested,2018,ha,677834
Nepal,Area harvested,2018,ha,706843
Paraguay,Production,2018,tonnes,722400
Croatia,Production,2018,tonnes,744405
Japan,Production,2018,tonnes,764900
Lithuania,Area harvested,2018,ha,772885
Tajikistan,Production,2018,tonnes,778986
Czechia,Area harvested,2018,ha,819690
Tunisia,Area harvested,2018,ha,846939
Turkmenistan,Area harvested,2018,ha,936488
Netherlands,Production,2018,tonnes,985297
Turkmenistan,Production,2018,tonnes,1000000
Hungary,Area harvested,2018,ha,1029523
Greece,Production,2018,tonnes,1072940
Bangladesh,Production,2018,tonnes,1099373
Republic of Moldova,Production,2018,tonnes,1162778
Iraq,Area harvested,2018,ha,1180443
Syrian Arab Republic,Production,2018,tonnes,1200000
Bulgaria,Area harvested,2018,ha,1212012
Uzbekistan,Area harvested,2018,ha,1311376
Egypt,Area harvested,2018,ha,1315490
Austria,Production,2018,tonnes,1370960
Latvia,Production,2018,tonnes,1431600
Chile,Production,2018,tonnes,1469003
Tunisia,Production,2018,tonnes,1500000
Sweden,Production,2018,tonnes,1620300
Afghanistan,Area harvested,2018,ha,1635000
Belgium,Production,2018,tonnes,1652249
United Kingdom of Great Britain and Northern Ireland,Area harvested,2018,ha,1748000
Ethiopia,Area harvested,2018,ha,1748972
Belarus,Production,2018,tonnes,1814765
Italy,Area harvested,2018,ha,1821725
South Africa,Production,2018,tonnes,1868000
Southern Africa,Production,2018,tonnes,1883865
Slovakia,Production,2018,tonnes,1927926
Nepal,Production,2018,tonnes,1949001
Azerbaijan,Production,2018,tonnes,1991683
Spain,Area harvested,2018,ha,2063683
Brazil,Area harvested,2018,ha,2065254
Algeria,Area harvested,2018,ha,2087003
Eastern Africa,Area harvested,2018,ha,2110907
Romania,Area harvested,2018,ha,2112307
Poland,Area harvested,2018,ha,2417227
Denmark,Production,2018,tonnes,2654819
Lithuania,Production,2018,tonnes,2838899
Morocco,Area harvested,2018,ha,2842748
Serbia,Production,2018,tonnes,2941601
Mexico,Production,2018,tonnes,2943445
Central America,Production,2018,tonnes,2945975
Germany,Area harvested,2018,ha,3036300
Iraq,Production,2018,tonnes,3211382
Afghanistan,Production,2018,tonnes,3613300
Algeria,Production,2018,tonnes,3981219
Northern Europe,Area harvested,2018,ha,4185282
Ethiopia,Production,2018,tonnes,4238836
Czechia,Production,2018,tonnes,4417841
Eastern Africa,Production,2018,tonnes,4951608
Least Developed Countries,Area harvested,2018,ha,5047149
France,Area harvested,2018,ha,5231615
Hungary,Production,2018,tonnes,5245890
Southern Europe,Area harvested,2018,ha,5339106
Uzbekistan,Production,2018,tonnes,5410760
Brazil,Production,2018,tonnes,5418711
Argentina,Area harvested,2018,ha,5822173
Bulgaria,Production,2018,tonnes,5832449
Ukraine,Area harvested,2018,ha,6619600
Iran (Islamic Republic of),Area harvested,2018,ha,6700000
Italy,Production,2018,tonnes,6932943
Turkey,Area harvested,2018,ha,7288622
Morocco,Production,2018,tonnes,7320620
Northern Africa,Area harvested,2018,ha,7497738
Spain,Production,2018,tonnes,7989906
Pakistan,Area harvested,2018,ha,8797227
Egypt,Production,2018,tonnes,8800000
Western Europe,Area harvested,2018,ha,8969071
South America,Area harvested,2018,ha,9076057
Poland,Production,2018,tonnes,9820315
Canada,Area harvested,2018,ha,9881000
Romania,Production,2018,tonnes,10143671
Western Asia,Area harvested,2018,ha,10146864
Africa,Area harvested,2018,ha,10227373
Australia,Area harvested,2018,ha,10919180
Australia and New Zealand,Area harvested,2018,ha,10960591
Oceania,Area harvested,2018,ha,10960594
Kazakhstan,Area harvested,2018,ha,11354380
Least Developed Countries,Production,2018,tonnes,12135536
United Kingdom of Great Britain and Northern Ireland,Production,2018,tonnes,13555000
Kazakhstan,Production,2018,tonnes,13944108
Central Asia,Area harvested,2018,ha,14111597
Iran (Islamic Republic of),Production,2018,tonnes,14500000
United States of America,Area harvested,2018,ha,16027750
Argentina,Production,2018,tonnes,18518045
Net Food Importing Developing Countries,Area harvested,2018,ha,19473882
Turkey,Production,2018,tonnes,20000000
Germany,Production,2018,tonnes,20263500
Land Locked Developing Countries,Area harvested,2018,ha,20469042
Southern Europe,Production,2018,tonnes,20663330
Australia,Production,2018,tonnes,20941134
Australia and New Zealand,Production,2018,tonnes,21312161
Oceania,Production,2018,tonnes,21312165
Central Asia,Production,2018,tonnes,21749780
Northern Africa,Production,2018,tonnes,22335609
Northern Europe,Production,2018,tonnes,23675883
"China, mainland",Area harvested,2018,ha,24266190
China,Area harvested,2018,ha,24268794
Ukraine,Production,2018,tonnes,24652840
Eastern Asia,Area harvested,2018,ha,24857505
Pakistan,Production,2018,tonnes,25076149
European Union,Area harvested,2018,ha,25495927
Northern America,Area harvested,2018,ha,25908750
Russian Federation,Area harvested,2018,ha,26472051
South America,Production,2018,tonnes,27081618
Western Asia,Production,2018,tonnes,27671936
Africa,Production,2018,tonnes,29289721
India,Area harvested,2018,ha,29580000
Canada,Production,2018,tonnes,31769200
Americas,Area harvested,2018,ha,35528985
France,Production,2018,tonnes,35798234
Land Locked Developing Countries,Production,2018,tonnes,36857747
Low Income Food Deficit Countries,Area harvested,2018,ha,37125805
Eastern Europe,Area harvested,2018,ha,42117719
Southern Asia,Area harvested,2018,ha,47772428
United States of America,Production,2018,tonnes,51286540
Net Food Importing Developing Countries,Production,2018,tonnes,55828976
Europe,Area harvested,2018,ha,60611179
Western Europe,Production,2018,tonnes,60645899
Russian Federation,Production,2018,tonnes,72136149
Northern America,Production,2018,tonnes,83055740
Asia,Area harvested,2018,ha,96963757
India,Production,2018,tonnes,99700000
Americas,Production,2018,tonnes,113083333
Low Income Food Deficit Countries,Production,2018,tonnes,119999439
"China, mainland",Production,2018,tonnes,131440500
China,Production,2018,tonnes,131447224
Eastern Asia,Production,2018,tonnes,132720816
Eastern Europe,Production,2018,tonnes,137154624
European Union,Production,2018,tonnes,138049231
Southern Asia,Production,2018,tonnes,145941964
World,Area harvested,2018,ha,214291888
Europe,Production,2018,tonnes,242139737
Asia,Production,2018,tonnes,328220218
World,Production,2018,tonnes,734045174
